row,col,Location,Cam__,Lat,Long,Join1,X,Y,Location.1,Cam__.1,Lat.1,Long.1,Join1.1,X.1,Y.1,lineWKT
69,70,OU,3,47.01001,-90.45405,OU3,485487.572,726375.571,OU,4,47.00953,-90.44093,OU4,486484.539,726316.533,"LINESTRING(485487.6 726375.6,486484.5 726316.5)"
41,71,MI,6,46.89226,-90.45892,MI6,485040.806,713292.74,OU,5,47.00936,-90.4276,OU5,487497.674,726292.024,"LINESTRING(485040.8 713292.7,487497.7 726292.0)"
70,71,OU,4,47.00953,-90.44093,OU4,486484.539,726316.533,OU,5,47.00936,-90.4276,OU5,487497.674,726292.024,"LINESTRING(486484.5 726316.5,487497.7 726292.0)"
70,72,OU,4,47.00953,-90.44093,OU4,486484.539,726316.533,OU,6,47.01858,-90.44033,OU6,486535.8,727321.971,"LINESTRING(486484.5 726316.5,486535.8 727322.0)"
71,73,OU,5,47.00936,-90.4276,OU5,487497.674,726292.024,OU,7,47.01801,-90.42709,OU7,487541.682,727253.056,"LINESTRING(487497.7 726292.0,487541.7 727253.1)"
72,73,OU,6,47.01858,-90.44033,OU6,486535.8,727321.971,OU,7,47.01801,-90.42709,OU7,487541.682,727253.056,"LINESTRING(486535.8 727322.0,487541.7 727253.1)"
41,74,MI,6,46.89226,-90.45892,MI6,485040.806,713292.74,OU,8,47.01789,-90.41404,OU8,488533.41,727234.395,"LINESTRING(485040.8 713292.7,488533.4 727234.4)"
73,74,OU,7,47.01801,-90.42709,OU7,487541.682,727253.056,OU,8,47.01789,-90.41404,OU8,488533.41,727234.395,"LINESTRING(487541.7 727253.1,488533.4 727234.4)"
19,75,CA,3,47.01728,-90.55705,CA3,477664.168,727233.991,OU,9,47.02787,-90.4531,OU9,485571.265,728359.872,"LINESTRING(477664.2 727234.0,485571.3 728359.9)"
72,76,OU,6,47.01858,-90.44033,OU6,486535.8,727321.971,OU,10,47.02764,-90.44003,OU10,486564.257,728328.649,"LINESTRING(486535.8 727322.0,486564.3 728328.6)"
75,76,OU,9,47.02787,-90.4531,OU9,485571.265,728359.872,OU,10,47.02764,-90.44003,OU10,486564.257,728328.649,"LINESTRING(485571.3 728359.9,486564.3 728328.6)"
74,77,OU,8,47.01789,-90.41404,OU8,488533.41,727234.395,OU,11,47.02705,-90.41369,OU11,488565.387,728252.174,"LINESTRING(488533.4 727234.4,488565.4 728252.2)"
19,78,CA,3,47.01728,-90.55705,CA3,477664.168,727233.991,OU,12,47.03691,-90.45285,OU12,485596.072,729364.348,"LINESTRING(477664.2 727234.0,485596.1 729364.3)"
75,78,OU,9,47.02787,-90.4531,OU9,485571.265,728359.872,OU,12,47.03691,-90.45285,OU12,485596.072,729364.348,"LINESTRING(485571.3 728359.9,485596.1 729364.3)"
76,79,OU,10,47.02764,-90.44003,OU10,486564.257,728328.649,OU,13,47.03666,-90.43954,OU13,486607.117,729330.804,"LINESTRING(486564.3 728328.6,486607.1 729330.8)"
78,79,OU,12,47.03691,-90.45285,OU12,485596.072,729364.348,OU,13,47.03666,-90.43954,OU13,486607.117,729330.804,"LINESTRING(485596.1 729364.3,486607.1 729330.8)"
79,80,OU,13,47.03666,-90.43954,OU13,486607.117,729330.804,OU,14,47.03647,-90.42636,OU14,487608.331,729304.152,"LINESTRING(486607.1 729330.8,487608.3 729304.2)"
77,81,OU,11,47.02705,-90.41369,OU11,488565.387,728252.174,OU,15,47.03605,-90.41317,OU15,488610.178,729252.106,"LINESTRING(488565.4 728252.2,488610.2 729252.1)"
80,81,OU,14,47.03647,-90.42636,OU14,487608.331,729304.152,OU,15,47.03605,-90.41317,OU15,488610.178,729252.106,"LINESTRING(487608.3 729304.2,488610.2 729252.1)"
79,82,OU,13,47.03666,-90.43954,OU13,486607.117,729330.804,OU,16,47.04602,-90.43922,OU16,486637.264,730370.815,"LINESTRING(486607.1 729330.8,486637.3 730370.8)"
